workType,filename,parent,extent,series,title,titleAlternative,description,dateCreated,datePublished,creator,physicalDescription,physicalFormat,subjectPlace,subjectName,resourceType,collectionCallNumber,publisher,publisherHomepage,donorProvenance,rightsStatement,rightsHolder,accessRights,rightsStatus,accessionNumber,masterFilename,boxFolder
work,ms0020_neg_bv_56-42_18.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_18,ms0020_neg_bv_56-42_18.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_19.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_19,ms0020_neg_bv_56-42_19.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_20.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_20,ms0020_neg_bv_56-42_20.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_21.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_21,ms0020_neg_bv_56-42_21.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_22.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_22,ms0020_neg_bv_56-42_22.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_23.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_23,ms0020_neg_bv_56-42_23.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_24.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_24,ms0020_neg_bv_56-42_24.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_25.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_25,ms0020_neg_bv_56-42_25.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_26.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_26,ms0020_neg_bv_56-42_26.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_27.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_27,ms0020_neg_bv_56-42_27.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_28.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_28,ms0020_neg_bv_56-42_28.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_29.tif,row:24,,,"Men from the back, close-up, Berryessa Valley",,,1956,1956,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_29,ms0020_neg_bv_56-42_29.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_30.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_30,ms0020_neg_bv_56-42_30.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_31.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_31,ms0020_neg_bv_56-42_31.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_32.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_32,ms0020_neg_bv_56-42_32.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_33.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_33,ms0020_neg_bv_56-42_33.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_34.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_34,ms0020_neg_bv_56-42_34.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-43_02.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-43_02,ms0020_neg_bv_56-43_02.tif,"Box 512, Folder 56-43"
work,ms0020_neg_bv_56-43_03.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-43_03,ms0020_neg_bv_56-43_03.tif,"Box 512, Folder 56-43"
work,ms0020_neg_bv_56-43_04.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-43_04,ms0020_neg_bv_56-43_04.tif,"Box 512, Folder 56-43"
work,ms0020_neg_bv_56-43_05.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-43_05,ms0020_neg_bv_56-43_05.tif,"Box 512, Folder 56-43"
